0 SILV SIL
1 pourV cereals
2 pourV milk
3 stirV bowl
4 takeV bowl
5 pourV cup
6 takeV cup
7 spoonV sugar
8 stirV cup
9 pourV sugar
10 pourV oil
11 crackV egg
12 addV saltnpepper
13 fryV egg
14 takeV plate
15 putV egg
16 takeV egg
17 butterV pan
18 takeV knife
19 cutV orange
20 squeezeV orange
21 pourV juice
22 takeV cup
23 takeV squeezer
24 spoonV powder
25 stirV cup
26 spoonV flour
27 stirV dough
28 pourV dough
29 fryV pancake
30 putV pancake
31 pourV flour
32 cutV fruit
33 putV fruit
34 peelV fruit
35 stirV fruit
36 cutV bun
37 smearV butter
38 takeV topping
39 putV topping
40 putV bun
41 takeV butter
42 stirV bowl
43 pourV egg
44 stirfryV egg
45 addV teabag
46 pourV cup
47 stirV cup
